timestep	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
38000	-11617.77078	367.6715727	348.4694249
38100	-11548.88524	363.1046509	344.1249263
38200	-11587.95799	369.6029129	323.182571
38300	-11699.22691	345.6235667	368.3947877
38400	-11746.16577	321.4569674	346.7169834
38500	-11628.10347	352.5045534	342.2480754
38600	-11748.76993	364.7121375	331.0780816
38700	-11716.56418	354.1022555	323.1991619
38800	-11777.5885	337.4062575	366.2399876
38900	-11715.33174	339.7413958	350.6351225
39000	-11717.69171	349.8272209	328.7315198
39100	-11713.62644	326.325162	354.100472
39200	-11715.65894	319.3378158	378.668425
39300	-11707.03165	368.7377469	344.44926
39400	-11832.15447	351.2701684	359.9990481
39500	-11858.99576	361.9696793	357.3932033
39600	-11829.04425	337.9571865	369.5785071
39700	-11874.2875	365.2618626	362.0039844
39800	-12223.73528	372.8637816	384.8596776
39900	-12215.53388	351.4117978	350.0498639
40000	-12312.17852	374.2022349	368.3483541
40100	-12657.96738	364.3366248	354.9000455
40200	-12792.9708	365.3421157	386.8522621
40300	-12629.25776	381.816589	408.0863698
40400	-12707.07895	419.9956826	384.7438475
40500	-12711.2231	402.9634492	417.2323966
40600	-12771.10128	408.585592	361.2211867
40700	-12614.58909	389.7973395	397.3206485
40800	-12626.36708	381.097347	345.8513142
40900	-12585.88691	377.9531691	340.2194008
41000	-12661.24548	362.2613144	350.158177
41100	-12741.2723	371.0984306	379.058884
41200	-12730.71174	367.3575857	389.5645443
41300	-12838.10848	332.9839512	364.8385097
41400	-12748.98839	352.9614552	386.8042539
41500	-12703.43026	350.1104649	369.001163
41600	-12660.26384	352.5992978	376.1537443
41700	-12647.66576	361.2826876	356.5765226
41800	-12704.26117	357.7607295	338.7681011
41900	-12639.19227	379.0049818	368.8106599
42000	-12597.94283	406.0058521	379.6878549
42100	-12691.48136	389.3508769	378.333532
42200	-12811.65761	370.6417865	336.1776894
42300	-12809.75657	355.4741217	351.7746013
42400	-12679.36581	353.5795954	352.3349089
42500	-12713.29697	366.4196277	357.7931788
42600	-12641.12057	338.2574334	361.9297956
42700	-12613.10878	355.0473381	351.4467209
42800	-12675.53222	340.9601982	356.7726676
42900	-12542.85067	351.3550778	357.1384263
43000	-12697.3544	353.374889	367.1355416
43100	-12711.34587	332.0273817	363.3826291
43200	-12792.55119	341.7983562	337.1309504
43300	-12795.763	334.9151488	354.7638669
43400	-12675.45802	366.1872222	358.567031
43500	-12795.50624	361.341343	357.9854938
43600	-12804.76206	339.5983694	366.4214465
43700	-12901.11225	341.9524954	339.1632875
43800	-12755.99715	315.9929007	353.3409773
43900	-12640.49139	363.5399221	396.534332
44000	-12694.33563	343.0235516	379.2828442
44100	-12650.7256	372.6959384	368.0723976
44200	-12756.1497	337.4474909	340.1032204
44300	-12708.71375	364.8354391	340.164456
44400	-12662.04024	360.2720866	363.4815482
44500	-12623.3486	337.9340261	361.4509181
44600	-12691.40319	345.2671922	387.9430311
44700	-12776.87409	350.9595664	393.4292058
44800	-12847.74108	348.7017527	362.6082824
44900	-12661.8061	356.6483728	377.4313379
45000	-12760.53746	361.1074863	358.3234783
45100	-12750.98294	359.6488931	384.8443129
45200	-12722.22198	414.8358307	370.4349285
45300	-12778.2323	390.5598174	372.277418
45400	-12984.03049	403.9595664	366.4999032
45500	-13072.86763	420.0837517	387.5878658
45600	-13246.08574	394.6833287	392.9074211
45700	-13337.68383	367.2792516	389.4460535
45800	-13434.82256	373.4936234	387.6060276
45900	-13377.14998	377.954237	357.3446882
46000	-13490.12113	365.4962226	363.0365587
46100	-13475.91852	365.0247555	371.7675659
46200	-13446.03492	381.2028586	378.2894728
46300	-13415.76695	376.1367294	394.0669575
46400	-13423.6364	370.5515068	403.7168768
46500	-13335.48371	369.7503802	386.680399
46600	-13269.82893	362.1262233	362.1944396
46700	-13282.68513	372.135724	344.4952616
46800	-13403.55062	389.9776733	317.1177101
46900	-13416.41305	364.0280859	388.8439062
47000	-13347.19492	377.5181937	335.7001848
47100	-13349.85863	382.6515145	365.8298904
47200	-13504.15954	379.2721948	369.9415975
47300	-13477.8791	360.693831	369.2050013
47400	-13418.0746	347.7319387	385.8163663
47500	-13514.1965	350.0159641	376.8964791
47600	-13617.84703	361.6895173	377.7749909
47700	-13504.91249	336.5531149	372.4280052
47800	-13580.36215	350.5285419	342.3406943
47900	-13555.13022	349.2842274	374.5792035
48000	-13572.30595	350.6959149	354.1554395
48100	-13452.84337	349.3346128	341.8933944
48200	-13328.75021	358.1264518	348.0310866
48300	-13525.92148	381.8357895	347.2372903
48400	-13561.70906	357.8960935	341.3387092
48500	-13478.08018	364.9882598	378.2329221
