timestep	temperature	potential_energy	translational_kinetic_energy	rotational_kinetic_energy
1720	0.9375804318	5228.838768	94.2268334	0
1730	0.9755470237	5223.988355	98.04247588	0
1740	0.9753548298	5217.535275	98.02316039	0
1750	0.8070695218	5231.068657	81.11048694	0
1760	0.7982881968	5231.72986	80.22796378	0
1770	0.9590485019	5215.686062	96.38437444	0
1780	0.946412057	5217.078904	95.11441173	0
1790	0.8757426741	5224.258125	88.01213874	0
1800	0.8984365721	5221.975952	90.2928755	0
1810	1.041602997	5207.138015	104.6811012	0
1820	0.8942976143	5221.668345	89.87691024	0
1830	0.8500431615	5226.189745	85.42933773	0
1840	0.8894088673	5222.694192	89.38559116	0
1850	1.063196093	5205.556985	106.8512074	0
1860	0.7503630139	5237.098037	75.4114829	0
1870	0.7647364818	5235.454212	76.85601643	0
1880	0.9554765239	5216.185894	96.02539066	0
1890	1.022647065	5208.902954	102.77603	0
1900	0.9579677764	5214.678803	96.27576153	0
1910	0.9130160729	5219.538309	91.75811532	0
1920	0.68204984	5243.228108	68.54600892	0
1930	0.8356348623	5227.631996	83.98130366	0
1940	0.9872588899	5211.943237	99.21951843	0
1950	0.6470164295	5246.037326	65.02515117	0
1960	0.7519963838	5235.450111	75.57563657	0
1970	1.074451747	5201.643946	107.9824006	0
1980	1.026199978	5205.181832	103.1330978	0
1990	0.8573377155	5222.234488	86.16244041	0
2000	0.6645387952	5241.656343	66.78614891	0
2010	0.942462745	5213.3607	94.71750587	0
2020	1.122844698	5194.526284	112.8458921	0
2030	1.044234943	5202.132005	104.9456118	0
2040	0.9555927564	5211.290518	96.03707202	0
2050	0.7033820459	5236.747652	70.68989561	0
2060	0.6034617002	5246.81877	60.64790087	0
2070	0.8133351685	5225.360027	81.74018443	0
2080	1.022238895	5204.097405	102.7350089	0
2090	1.076158253	5198.529252	108.1539045	0
2100	0.8955694619	5216.8163	90.00473092	0
2110	0.7949858875	5227.188947	79.89608169	0
2120	0.6610146513	5241.138648	66.43197246	0
2130	0.8544119102	5221.705286	85.86839698	0
2140	1.014928858	5205.128053	102.0003502	0
2150	0.7647263207	5229.853594	76.85499523	0
2160	0.728986837	5233.18808	73.26317712	0
2170	0.9274562531	5211.722906	93.20935344	0
2180	0.8947771894	5215.390819	89.92510753	0
2190	0.8534451241	5219.977549	85.77123497	0
2200	0.8130212344	5223.977004	81.70863406	0
2210	1.028484987	5201.126749	103.3627412	0
2220	1.006943758	5201.734263	101.1978477	0
2230	0.8004320758	5222.658302	80.44342362	0
2240	0.7465919906	5228.375778	75.03249506	0
2250	0.7637481843	5225.009786	76.75669252	0
2260	0.9318815987	5203.945529	93.65410067	0
2270	1.116414049	5184.477533	112.199612	0
2280	0.9687885872	5199.018097	97.36325301	0
2290	0.4916183022	5247.286925	49.40763937	0
2300	0.703464267	5226.063059	70.69815883	0
2310	0.9247852463	5204.436182	92.94091725	0
2320	0.9055699539	5206.637599	91.00978036	0
2330	0.8869434311	5208.555243	89.13781482	0
2340	0.8201636203	5214.012139	82.42644384	0
2350	0.6642752689	5229.433749	66.75966452	0
2360	0.9022113014	5205.001249	90.67223579	0
2370	0.8599808614	5209.328868	86.42807657	0
2380	0.6988438373	5225.483526	70.23380565	0
2390	0.8350734765	5211.930235	83.92488439	0
2400	0.8997652889	5204.911902	90.42641153	0
2410	0.7548764147	5219.041939	75.86507968	0
2420	0.6379813892	5230.772023	64.11712961	0
2430	0.7366465477	5220.900605	74.03297805	0
2440	1.023055694	5192.498741	102.8170972	0
2450	0.9554058824	5199.068826	96.01829118	0
2460	0.8399561548	5210.649195	84.41559356	0
2470	0.8366823057	5210.377176	84.08657173	0
2480	0.6991308945	5223.830113	70.2626549	0
2490	0.8252619464	5211.170532	82.93882562	0
2500	0.931895785	5200.449611	93.65552639	0
2510	0.784810972	5215.851558	78.87350268	0
2520	0.7898581109	5215.258177	79.38074014	0
2530	0.7171124205	5222.142139	72.06979827	0
2540	0.7677502827	5216.606737	77.15890341	0
2550	0.7822023006	5215.011716	78.61133121	0
2560	0.9599923019	5197.260329	96.47922634	0
2570	0.8769021895	5205.612824	88.12867004	0
2580	0.8735277026	5205.959154	87.78953411	0
2590	0.8605342073	5207.180388	86.48368783	0
2600	0.8421602332	5208.826784	84.63710344	0
2610	0.7867030302	5214.232756	79.06365454	0
2620	0.9304325416	5199.567195	93.50847043	0
2630	1.067192088	5183.471813	107.2528048	0
2640	1.140639505	5176.470122	114.6342703	0
2650	0.9823415511	5190.840193	98.72532588	0
2660	0.8382303783	5205.499452	84.24215302	0
2670	1.059081952	5183.545981	106.4377362	0
2680	1.225384159	5165.908688	123.151108	0
2690	1.037090513	5184.456986	104.2275965	0
2700	1.028045378	5185.582044	103.3185605	0
2710	0.8108529226	5207.689811	81.49071872	0
2720	0.8287894479	5206.027771	83.29333951	0
2730	1.029842744	5185.558927	103.4991957	0
2740	1.024012661	5186.094353	102.9132725	0
2750	1.00694099	5187.724203	101.1975695	0
2760	1.051599697	5172.385931	105.6857695	0
2770	0.9760439442	5178.985173	98.09241639	0
2780	0.9903974744	5172.195689	99.53494618	0
2790	0.9834962325	5168.094113	98.84137136	0
2800	0.8561332451	5180.387434	86.04139114	0
2810	0.7908398438	5186.6581	79.4794043	0
2820	0.8853425684	5177.066228	88.97692813	0
2830	0.9151549656	5173.991626	91.97307404	0
2840	0.8920523823	5176.546636	89.65126443	0
2850	0.9076457575	5175.119615	91.21839863	0
2860	0.8680514909	5176.034392	87.23917484	0
2870	0.8634638057	5176.464432	86.77811247	0
2880	0.9153199913	5170.584988	91.98965913	0
2890	0.871096778	5174.933013	87.54522619	0
2900	0.8110138231	5181.516627	81.50688922	0
2910	0.8753973447	5175.595847	87.97743314	0
2920	0.8291367545	5180.380038	83.32824383	0
2930	0.8524829086	5178.030713	85.67453232	0
2940	0.8319642939	5179.858839	83.61241154	0
2950	0.8959835379	5170.537992	90.04634556	0
2960	0.8515832048	5171.615947	85.58411208	0
